full_name,license_number,region,country,top_clients,verified_status,total_clients,success_rate,avg_contract_value,best_negotiated_contract,preferred_contract_terms,contact_email,phone_number,profile_rating,years_experience,languages_spoken,specialization,last_contract_date,agency_affiliation
Jeremy Allen,FAB92CB7DB,North Africa,Algeria,"Yassine Bounou, Karl Toko Ekambi",False,44,76.11,3175480.86,"EUR 10,152,145.69 - Anis Ben Slimane",Performance-based + Image Rights,jeremy.allen@foster.org,+213001854854,4.9,5,"French, Swahili, Portuguese","Talent Scouting, International Transfers, Career Development",2024-11-12,Hill-Sharp
Zachary Moore,FA8009C25B,East Africa,Comoros,"Thomas Partey, Aymen Balbouli",True,59,66.23,12981515.5,"EUR 19,095,037.42 - Inaki Williams",Sponsorship-linked Earnings,zachary.moore@robinson-ferguson.com,+269975608663,3.91,4,"Swahili, Arabic","International Transfers, Youth Development",2024-07-29,Cohen LLC
Kyle Callahan,FA118E91CA,East Africa,South Sudan,"Samuel Chukwueze, Michael Olunga, Seifeddine Jaziri",True,14,92.56,338108.38,"EUR 6,892,704.49 - Ali Maâloul",Long-term Development Focus,kyle.callahan@shaw.info,+211980143114,4.08,27,"Spanish, Swahili, Arabic","Player Marketing, Talent Scouting",2025-01-29,"Luna, House and Walters"
Sharon Edwards,FA245CAB2B,West Africa,Cape Verde,"Mohamed Salah, Édouard Mendy, Michael Olunga",True,56,81.92,2626889.9,"EUR 18,500,521.15 - Riyad Mahrez",Buyout Clause Protection,sharon.edwards@shelton-campbell.org,+238823602707,4.38,1,"French, Swahili, Portuguese, Spanish","Player Marketing, International Transfers",2024-11-21,"Patel, Chaney and Adams"
Jessica Fisher,FA291658FA,Southern Africa,Eswatini (Swaziland),"Kalidou Koulibaly, Edmond Tapsoba, Ali Maâloul, Karl Toko Ekambi",False,54,68.6,5529695.08,"EUR 6,333,431.95 - Frank Kessié",Market Value Dependent,jessica.fisher@myers.biz,+268319217994,4.08,24,"Arabic, Swahili, English","Contract Negotiation, Youth Development",2025-01-25,Reid-Smith
Timothy Ward,FA8C5F43AA,Southern Africa,South Africa,"Youssef Msakni, Frank Kessié, Mohamed Salah",True,46,84.27,9481404.42,"EUR 10,516,217.19 - Patson Daka",Balanced Terms with Bonuses,timothy.ward@harris.biz,+27646529522,4.79,8,"Swahili, Spanish, Portuguese, French","International Transfers, Career Development, Youth Development",2024-07-03,Hensley-Hamilton
Jennifer Marks,FA69EE8F40,Southern Africa,Lesotho,"Aymen Dahmen, Thomas Partey, Edmond Tapsoba",False,62,92.73,12516674.58,"EUR 21,677,906.41 - Achraf Hakimi",Balanced Terms with Bonuses,jennifer.marks@stewart-branch.biz,+266892920879,3.56,2,"Swahili, French","Talent Scouting, Youth Development",2024-04-21,Hoover PLC
Monique Mcdonald,FA61CB77A2,West Africa,Togo,"Youssef Msakni, Mbwana Samatta, Seifeddine Jaziri",False,79,97.09,6414425.66,"EUR 11,466,366.16 - Michael Olunga",Sponsorship-linked Earnings,monique.mcdonald@clark.org,+228701454031,4.48,8,"French, English, Arabic","Career Development, Player Marketing, Talent Scouting",2024-07-22,"Walton, Moore and Boyd"
Jasmine Garcia,FA8D061D75,East Africa,Uganda,"Percy Tau, Frank Kessié, Mohamed Salah, Sadio Mané",True,58,66.87,11794084.7,"EUR 16,868,614.26 - Karl Toko Ekambi",Relegation Release Clause,jasmine.garcia@zimmerman-mayer.info,+256868548434,4.35,25,"French, Arabic, English","Contract Negotiation, Talent Scouting, Player Marketing",2025-01-05,"Casey, Burton and Gonzalez"
George Guzman,FA17D6E92A,Southern Africa,Eswatini (Swaziland),"Victor Osimhen, Anis Ben Slimane",True,52,67.25,7674258.36,"EUR 14,157,136.86 - Anis Ben Slimane",Performance-based + Image Rights,george.guzman@anderson.com,+268471539214,4.6,14,"Portuguese, English","International Transfers, Career Development",2024-08-25,Morrow-Kline
Stuart Lam,FA6D6F8ECD,West Africa,Mauritania,"Sadio Mané, Riyad Mahrez, Michael Olunga, Wilfried Zaha",True,90,72.07,3920301.19,"EUR 17,354,025.67 - Thomas Partey",Experience-based Scaling,stuart.lam@anderson.org,+222748263048,4.17,12,"Swahili, English, Spanish","Player Marketing, Youth Development, Career Development",2024-04-05,Gibson-Stafford
Ricardo Tran,FA11CAFDE8,East Africa,Zambia,"Michael Olunga, Chancel Mbemba, Riyad Mahrez, Édouard Mendy",False,69,74.44,4797933.11,"EUR 6,120,724.20 - Sadio Mané",Loyalty Bonus Included,ricardo.tran@thornton-lewis.com,+260986201169,3.73,16,"Swahili, French","Contract Negotiation, Player Marketing, Youth Development",2024-10-20,Miles Ltd
Megan Ford,FA351288E4,Central Africa,Sao Tome and Principe,"Vincent Aboubakar, Anis Ben Slimane, Frank Kessié",True,72,78.57,421795.29,"EUR 14,587,468.16 - Inaki Williams",Revenue-sharing from Transfers,megan.ford@henry.net,+000904239510,4.57,5,"Portuguese, French, Arabic","Contract Negotiation, Talent Scouting",2024-06-02,Chandler-Lopez
Jasmine Fields,FA2C4A4A95,Central Africa,Cameroon,"Anis Ben Slimane, Youssef Msakni, Vincent Aboubakar, Samuel Chukwueze",False,72,87.67,9840536.44,"EUR 10,706,663.44 - Édouard Mendy",Revenue-sharing from Transfers,jasmine.fields@smith.com,+237374907317,4.39,3,"French, Swahili, Portuguese, Spanish","International Transfers, Career Development, Player Marketing",2024-09-01,Herring PLC
Emily Johnston,FA0307A90E,North Africa,Algeria,"Achraf Hakimi, Kalidou Koulibaly",False,96,92.93,11101203.55,"EUR 17,989,566.84 - Achraf Hakimi",Long-term Development Focus,emily.johnston@jones.com,+213903990561,3.9,7,"Spanish, Arabic, Portuguese, Swahili","Youth Development, Career Development, Contract Negotiation",2024-12-22,"Price, Yoder and Carpenter"
Stanley Gonzalez,FA3144F124,Central Africa,Democratic Republic of the Congo,"Aymen Balbouli, Michael Olunga, Frank Kessié, Samuel Chukwueze",False,62,70.01,10797817.54,"EUR 16,431,269.63 - Anis Ben Slimane",Sponsorship-linked Earnings,stanley.gonzalez@avery-stewart.biz,+243036296346,4.65,9,"Spanish, Portuguese","Talent Scouting, Player Marketing",2024-10-08,Gross-Walton
Adam Underwood,FAAAD1E680,Southern Africa,Lesotho,"Karl Toko Ekambi, Inaki Williams, Mohamed Salah, Michael Olunga",False,88,67.41,8114761.41,"EUR 10,723,660.87 - Ali Maâloul",High Base + Short Duration,adam.underwood@huffman-patel.com,+266701059810,4.6,23,"Spanish, Portuguese, Swahili, English","Youth Development, Player Marketing",2024-08-13,Parker LLC
Angela Montgomery,FA0BDD9620,Southern Africa,Namibia,"Samuel Chukwueze, Ali Maâloul, Seifeddine Jaziri, Frank Kessié",False,98,84.75,4545078.27,"EUR 12,057,498.67 - Frank Kessié",Revenue-sharing from Transfers,angela.montgomery@howell-ross.net,+264067802701,3.55,16,"Portuguese, Spanish","Contract Negotiation, Talent Scouting, Youth Development",2024-06-02,"Gonzalez, Macdonald and Perez"
Matthew Munoz,FA28DDC14A,Central Africa,Sao Tome and Principe,"Achraf Hakimi, Aymen Dahmen",False,49,97.25,11072378.18,"EUR 12,954,943.19 - Mbwana Samatta",Market Value Dependent,matthew.munoz@lewis.org,+000139610580,4.63,3,"French, Swahili, Arabic","Youth Development, Player Marketing, International Transfers",2024-03-17,"Miller, Garcia and Olson"
Jackie Conley,FA6205A922,North Africa,Tunisia,"Michael Olunga, Sadio Mané",True,69,71.67,4699882.61,"EUR 16,687,087.95 - Kalidou Koulibaly",Medical & Injury Coverage,jackie.conley@crawford-warner.net,+216905719421,3.97,16,"Portuguese, French, English","Career Development, Player Marketing",2024-11-04,"Collins, Brown and Schwartz"
Scott Anderson,FAE830E794,Southern Africa,South Africa,"Wahbi Khazri, Edmond Tapsoba, Mohamed Salah",False,44,61.41,4780873.79,"EUR 20,045,235.23 - Percy Tau",Medical & Injury Coverage,scott.anderson@anderson.com,+27401060619,4.41,30,"Spanish, Portuguese, English, Arabic","International Transfers, Contract Negotiation",2024-03-15,Stephens-Wall
Samantha Cox,FA8027C2DB,East Africa,Seychelles,"Kalidou Koulibaly, Aymen Dahmen",True,73,75.25,629528.09,"EUR 16,383,219.03 - Yassine Bounou",Renewal Option at Club’s Discretion,samantha.cox@hanson-norton.net,+248382497510,4.59,4,"Portuguese, Swahili","Contract Negotiation, Career Development, Talent Scouting",2024-12-16,Bates LLC
James Lewis,FA52E903EC,East Africa,Eritrea,"Frank Kessié, Kalidou Koulibaly",True,45,65.13,1002601.02,"EUR 17,994,076.44 - Chancel Mbemba",Performance-based + Image Rights,james.lewis@payne.com,+291756414953,4.51,29,"Portuguese, English","Contract Negotiation, Talent Scouting, Player Marketing",2024-10-23,Russell LLC
Beth Smith,FA509C771C,Southern Africa,Namibia,"Aymen Balbouli, Kalidou Koulibaly, Thomas Partey, Vincent Aboubakar",True,79,80.93,4891991.81,"EUR 14,256,920.54 - Frank Kessié",Renewal Option at Club’s Discretion,beth.smith@rios.com,+264525124831,4.31,25,"Arabic, Swahili, French","Talent Scouting, Player Marketing",2024-07-01,Cole-Miller
Jennifer Davis,FA9624AB0C,Southern Africa,South Africa,"Patson Daka, Aymen Balbouli, Edmond Tapsoba",False,100,64.24,2361193.59,"EUR 2,915,396.72 - Chancel Mbemba",Long-term Development Focus,jennifer.davis@skinner-hill.com,+27285171131,4.49,21,"Swahili, Arabic","Contract Negotiation, Youth Development",2024-10-30,Mathews-Hernandez
Michael Flowers,FAFF0A4A01,East Africa,Malawi,"Kalidou Koulibaly, André Onana, Mbwana Samatta, Édouard Mendy",False,31,80.33,13838518.36,"EUR 17,891,539.20 - Percy Tau",Long-term Development Focus,michael.flowers@willis.net,+265021111506,3.66,11,"Spanish, French","Contract Negotiation, Career Development",2024-06-07,"Haynes, Shah and Serrano"
Christine Hart,FA88363232,West Africa,Benin,"Karl Toko Ekambi, Kalidou Koulibaly, Vincent Aboubakar",False,60,66.44,13241580.52,"EUR 16,860,201.32 - Thomas Partey",Medical & Injury Coverage,christine.hart@russell-kim.info,+229205992797,3.52,18,"Spanish, English, Swahili","Career Development, Youth Development",2024-09-29,Johnson LLC
Kristina Hicks,FA4F27B8EB,Central Africa,Chad,"André Onana, Anis Ben Slimane",False,13,65.73,2492989.43,"EUR 14,191,000.16 - Ali Maâloul",Balanced Terms with Bonuses,kristina.hicks@cortez.org,+235308467325,4.31,27,"Arabic, English, French","Contract Negotiation, Youth Development, International Transfers",2024-10-19,"Martin, Rivera and Peterson"
Christopher Alexander,FA15E5821D,North Africa,Libya,"Wilfried Zaha, Patson Daka, Victor Osimhen, Michael Olunga",True,63,84.21,14051171.04,"EUR 19,757,148.40 - Achraf Hakimi",Championship Clause Activation,christopher.alexander@adams-chavez.biz,+218230484586,3.74,23,"Arabic, French","Talent Scouting, Player Marketing, International Transfers",2024-09-22,"Smith, Warner and Howard"
James Hernandez,FA8E2292D0,North Africa,Western Sahara,"Édouard Mendy, Seifeddine Jaziri",True,36,88.98,11232365.52,"EUR 18,539,250.57 - Aymen Balbouli",Long-term Development Focus,james.hernandez@suarez.com,+000246841932,4.16,26,"English, French, Arabic, Spanish","Career Development, Contract Negotiation, Talent Scouting",2024-03-11,Rivera-Murray
Patricia Russo,FAD90D6E4B,Southern Africa,Eswatini (Swaziland),"Samuel Chukwueze, Wahbi Khazri, Sadio Mané, Wilfried Zaha",True,43,85.04,11632132.68,"EUR 21,621,491.39 - Riyad Mahrez",Loyalty Bonus Included,patricia.russo@cordova-brown.com,+268356012116,4.17,14,"English, Portuguese","Player Marketing, Youth Development, Contract Negotiation",2024-09-04,Stein-Richardson
Jacqueline Roberts,FA342BAADE,Southern Africa,Eswatini (Swaziland),"Patson Daka, Youssef Msakni, Aymen Dahmen, Anis Ben Slimane",False,22,89.85,5324431.93,"EUR 11,503,226.17 - Mbwana Samatta",Balanced Terms with Bonuses,jacqueline.roberts@sellers.com,+268929179752,3.98,13,"Arabic, Spanish, French, Portuguese","Youth Development, Career Development, Talent Scouting",2024-05-22,Powell-Warren
Daniel Pham,FA2BA2DA6B,East Africa,Malawi,"Frank Kessié, Percy Tau, Achraf Hakimi",False,31,76.52,11214385.05,"EUR 20,833,680.14 - Edmond Tapsoba",Long-term Development Focus,daniel.pham@turner.com,+265841750260,3.85,5,"Arabic, Spanish, Portuguese, English","Talent Scouting, Contract Negotiation",2025-02-24,Forbes LLC
Claudia Stanley,FAD930A88E,Southern Africa,Botswana,"Aymen Dahmen, Mbwana Samatta",True,28,75.42,3831624.37,"EUR 17,790,888.62 - Samuel Chukwueze",Market Value Dependent,claudia.stanley@mack.com,+267514629554,4.93,2,"English, Swahili, Spanish","Player Marketing, International Transfers",2024-08-14,Davies-Barr
Kathleen Lee,FA0656ADF5,North Africa,Egypt,"Achraf Hakimi, Yassine Bounou",True,8,79.58,8177473.31,"EUR 12,721,307.06 - Karl Toko Ekambi",High Base + Short Duration,kathleen.lee@terry.biz,+20828056944,3.99,11,"Spanish, Portuguese, English","International Transfers, Career Development, Contract Negotiation",2025-01-19,Armstrong PLC
Dawn Howell,FA12A782EC,North Africa,Algeria,"Mohamed Salah, Frank Kessié",True,36,85.56,3939954.35,"EUR 10,708,086.22 - Seifeddine Jaziri",High Base + Short Duration,dawn.howell@krause-simpson.net,+213756145968,4.32,14,"Spanish, French, English, Portuguese","Youth Development, Contract Negotiation",2025-02-21,Woods and Sons
Wesley Dean,FAFCE9754B,Central Africa,Democratic Republic of the Congo,"André Onana, Kalidou Koulibaly, Anis Ben Slimane",True,96,81.06,6604802.29,"EUR 15,026,653.55 - Mohamed Salah",Championship Clause Activation,wesley.dean@carpenter.net,+243946516096,4.84,19,"French, Spanish, Swahili, Arabic","Career Development, Talent Scouting",2024-10-27,Harper Inc
Roger Cunningham,FA753D2CDA,West Africa,Mali,"Inaki Williams, Michael Olunga, Patson Daka",False,60,82.37,6473721.54,"EUR 13,705,147.66 - Patson Daka",Experience-based Scaling,roger.cunningham@sanders.com,+223926427447,3.53,25,"Swahili, Spanish, French, Portuguese","Career Development, Contract Negotiation, International Transfers",2024-08-11,Branch and Sons
Stefanie Barnes,FA5A4B6CD4,North Africa,Sudan,"Chancel Mbemba, Patson Daka",True,56,69.59,9175618.26,"EUR 15,326,838.24 - Chancel Mbemba",Buyout Clause Protection,stefanie.barnes@moran.info,+249537618785,4.02,25,"English, Arabic","Contract Negotiation, International Transfers, Talent Scouting",2024-09-25,Francis Ltd
Amy Vega,FADAA31F9E,Southern Africa,Namibia,"Wahbi Khazri, André Onana",True,42,84.55,7395904.55,"EUR 11,763,219.63 - Percy Tau",Loyalty Bonus Included,amy.vega@carlson.com,+264886877383,3.96,2,"Portuguese, Arabic","Player Marketing, International Transfers, Youth Development",2024-04-13,Brown and Sons
Justin Flores,FADBF76433,Southern Africa,Botswana,"Sadio Mané, Kalidou Koulibaly, Anis Ben Slimane, Yassine Bounou",False,51,97.85,10993139.35,"EUR 16,845,293.18 - Wahbi Khazri",Signing-on Fee Included,justin.flores@arnold-gonzalez.com,+267564931527,4.77,25,"Spanish, Swahili, French, English","Player Marketing, Career Development",2024-04-03,"Mathis, Mclean and Robertson"
Nancy Mitchell,FAB1C0E29F,East Africa,Uganda,"Karl Toko Ekambi, Victor Osimhen, Édouard Mendy, Thomas Partey",False,88,83.33,9061846.24,"EUR 10,252,606.80 - Kalidou Koulibaly",Youth Development Oriented,nancy.mitchell@hernandez.net,+256948743526,3.93,1,"Swahili, Portuguese","Career Development, Contract Negotiation",2025-01-14,"Schultz, Cain and Carson"
Brenda Lynch,FA871FC433,Central Africa,Equatorial Guinea,"Anis Ben Slimane, Sadio Mané, Youssef Msakni",True,31,90.86,9582051.03,"EUR 15,453,653.17 - Inaki Williams",Experience-based Scaling,brenda.lynch@smith-sims.info,+240206306052,4.4,23,"Swahili, Portuguese, French, English","Contract Negotiation, Talent Scouting, International Transfers",2024-12-11,Smith Ltd
Lori Garcia,FA94ABAA86,East Africa,Comoros,"Frank Kessié, Edmond Tapsoba, Wahbi Khazri",True,79,74.91,4902619.98,"EUR 7,323,367.49 - Riyad Mahrez",Signing-on Fee Included,lori.garcia@perez-taylor.com,+269223079938,3.5,20,"Arabic, English","International Transfers, Talent Scouting, Youth Development",2024-06-16,"Potts, Goodwin and Dorsey"
Samantha Jones,FA5F5E0290,Central Africa,Gabon,"Mbwana Samatta, André Onana",False,60,73.93,14607909.71,"EUR 20,377,558.06 - Kalidou Koulibaly",High Base + Short Duration,samantha.jones@meyer.com,+241011155865,3.5,26,"English, French","International Transfers, Player Marketing, Contract Negotiation",2024-07-13,"Mann, Camacho and Jones"
Jill Guerra,FA2674712C,Southern Africa,Eswatini (Swaziland),"Inaki Williams, Achraf Hakimi, Édouard Mendy, Victor Osimhen",False,20,73.67,8991955.08,"EUR 12,922,647.01 - Mbwana Samatta",Loyalty Bonus Included,jill.guerra@le.com,+268767840427,4.15,18,"Spanish, Portuguese, English, French","Player Marketing, International Transfers",2024-06-15,Bennett-Keller
Brendan Young,FA6EA9992C,West Africa,Senegal,"Wahbi Khazri, Riyad Mahrez, Vincent Aboubakar",False,25,65.92,12876527.35,"EUR 20,062,368.11 - Thomas Partey",Appearance-based Bonuses,brendan.young@hart-martinez.com,+221943382948,4.25,1,"English, Portuguese","Talent Scouting, Youth Development",2024-09-26,"Munoz, Johnson and Lopez"
Kelly Rasmussen,FA0DF88550,Southern Africa,Namibia,"Samuel Chukwueze, Youssef Msakni, Karl Toko Ekambi, Ali Maâloul",True,78,83.8,6798477.01,"EUR 18,478,817.81 - Édouard Mendy",Market Value Dependent,kelly.rasmussen@villanueva.com,+264775750582,4.65,15,"Arabic, Swahili","Player Marketing, Contract Negotiation, Talent Scouting",2024-05-23,Richardson-Johnson
Suzanne Flores,FAE3A369F0,Central Africa,Republic of the Congo,"Yassine Bounou, Seifeddine Jaziri, Victor Osimhen, Sadio Mané",False,18,65.66,7070339.93,"EUR 17,206,111.79 - Wilfried Zaha",Endorsement Deal Integration,suzanne.flores@weber.biz,+242373919893,3.51,16,"Swahili, Arabic, Portuguese, Spanish","Talent Scouting, Youth Development, Contract Negotiation",2024-08-29,Ward Group
Robert Vance,FA7978FC07,West Africa,Guinea,"Wahbi Khazri, Inaki Williams, Karl Toko Ekambi",False,37,75.98,3089108.39,"EUR 7,813,655.92 - Achraf Hakimi",Sponsorship-linked Earnings,robert.vance@vargas-juarez.net,+224368146582,4.4,4,"Spanish, Portuguese","Youth Development, International Transfers, Player Marketing",2024-03-31,Weaver PLC
Lori Jackson,FA7015FCE3,West Africa,Togo,"Aymen Balbouli, Mbwana Samatta, Wilfried Zaha",False,80,64.17,2700402.31,"EUR 11,662,648.70 - Ali Maâloul",Market Value Dependent,lori.jackson@gutierrez-harding.org,+228675146688,4.88,13,"English, Arabic, French, Swahili","Career Development, Youth Development",2024-07-20,Shaw Ltd
William Diaz,FADE4E84DA,Central Africa,Democratic Republic of the Congo,"Percy Tau, Frank Kessié, Sadio Mané, Michael Olunga",False,68,93.39,2939768.5,"EUR 21,928,332.19 - Kalidou Koulibaly",Appearance-based Bonuses,william.diaz@campbell.net,+243711817004,4.14,6,"Swahili, English, Arabic","Player Marketing, Youth Development, International Transfers",2024-03-31,Raymond PLC
Gabriela Harrell,FA9B0D4E2C,West Africa,Ghana,"Yassine Bounou, Frank Kessié, Kalidou Koulibaly",False,36,86.6,10366088.28,"EUR 17,835,392.43 - Mbwana Samatta",Endorsement Deal Integration,gabriela.harrell@myers.com,+233238548286,4.29,17,"Spanish, French, English, Portuguese","International Transfers, Youth Development",2025-02-20,"Ford, Jones and Thompson"
Brittany Bruce,FA4C309B48,Central Africa,Equatorial Guinea,"Aymen Balbouli, Seifeddine Jaziri, Percy Tau",True,6,61.94,8305893.68,"EUR 14,720,694.05 - Anis Ben Slimane",Market Value Dependent,brittany.bruce@wall-murray.net,+240426974024,3.94,26,"English, Spanish, Swahili, French","Player Marketing, Talent Scouting",2024-11-12,Wilson and Sons
Kelly Wagner,FA86D3608F,North Africa,Sudan,"Anis Ben Slimane, Aymen Dahmen, Michael Olunga, Karl Toko Ekambi",True,17,89.68,7945850.46,"EUR 18,099,800.76 - Mohamed Salah",Revenue-sharing from Transfers,kelly.wagner@dudley.com,+249704231371,3.59,13,"Portuguese, French, Arabic","Youth Development, Talent Scouting, Player Marketing",2024-08-05,Robinson-Mcdonald
Tyler Miller,FA990F7EC4,Central Africa,Angola,"Ali Maâloul, Patson Daka",False,80,67.68,13337492.41,"EUR 18,862,115.27 - Achraf Hakimi",High Base + Short Duration,tyler.miller@ponce-mcconnell.com,+244759060499,4.73,16,"French, Spanish, Portuguese, Swahili","Player Marketing, Youth Development, Talent Scouting",2024-07-24,"Clarke, Lewis and Johnston"
Anthony Martin,FABC259A49,East Africa,Ethiopia,"Wahbi Khazri, Inaki Williams, Edmond Tapsoba",False,93,71.68,14219819.54,"EUR 14,410,127.42 - Mbwana Samatta",Sponsorship-linked Earnings,anthony.martin@lamb.org,+251186701407,3.51,11,"English, Swahili","Player Marketing, International Transfers",2024-12-10,"Bridges, Mccarthy and Kim"
Amanda Hunter,FAEA0A4279,Southern Africa,Namibia,"Seifeddine Jaziri, Patson Daka",True,64,91.09,6951763.93,"EUR 8,378,576.99 - Mbwana Samatta",Championship Clause Activation,amanda.hunter@holden-carney.com,+264932250251,4.34,23,"Spanish, Arabic, English","Player Marketing, Contract Negotiation, Youth Development",2025-02-26,Stewart Ltd
Donald Freeman,FA3A6B88BB,Central Africa,Sao Tome and Principe,"Sadio Mané, Samuel Chukwueze, Thomas Partey",False,33,68.09,10118033.66,"EUR 15,929,657.47 - Ali Maâloul",Championship Clause Activation,donald.freeman@ortega.com,+000093724126,4.41,21,"Swahili, Arabic, French","Youth Development, Player Marketing",2024-03-11,"Jones, Williams and Martinez"
Donna Reyes,FA008C2C30,East Africa,Somalia,"Achraf Hakimi, Mbwana Samatta, Chancel Mbemba",False,99,86.98,13075358.6,"EUR 22,323,619.28 - Riyad Mahrez",Incentive-driven Performance,donna.reyes@bond.net,+252881281694,4.03,18,"Swahili, Portuguese, Spanish, French","International Transfers, Youth Development",2025-02-28,Johnson and Sons
Martha Pearson,FACBCDA8A8,East Africa,Ethiopia,"Aymen Balbouli, Ali Maâloul, Achraf Hakimi",True,92,86.19,4521829.67,"EUR 18,844,560.06 - Kalidou Koulibaly",No-trade Clause,martha.pearson@fischer-carter.com,+251652837459,4.31,19,"French, English","Contract Negotiation, International Transfers, Career Development",2024-09-23,Rivas-Scott
Timothy West,FA0D53775C,Southern Africa,Eswatini (Swaziland),"Mbwana Samatta, Yassine Bounou, Karl Toko Ekambi",False,37,88.28,3537489.45,"EUR 15,168,382.43 - Wahbi Khazri",Championship Clause Activation,timothy.west@rodriguez.com,+268363379752,4.3,23,"English, Arabic","Talent Scouting, Career Development",2024-10-25,Robinson Inc
Joseph Sullivan,FA7A6137AA,Central Africa,Central African Republic,"Riyad Mahrez, Youssef Msakni, Aymen Dahmen, Edmond Tapsoba",False,96,94.27,1140622.91,"EUR 8,079,235.18 - Samuel Chukwueze",Balanced Terms with Bonuses,joseph.sullivan@vincent.com,+236686230002,4.77,2,"Spanish, Swahili, French","Talent Scouting, Player Marketing, Contract Negotiation",2024-10-27,Warner and Sons
Juan Thomas,FA021A7A28,Central Africa,Republic of the Congo,"Aymen Dahmen, Percy Tau",False,97,80.28,738253.66,"EUR 17,906,898.66 - Edmond Tapsoba",Medical & Injury Coverage,juan.thomas@stein-hammond.com,+242588808429,4.38,12,"Spanish, French","International Transfers, Career Development, Contract Negotiation",2025-01-11,Anderson Group
Kristine Keller,FAAFD7D8A8,East Africa,Zambia,"Mbwana Samatta, Achraf Hakimi, Mohamed Salah, Edmond Tapsoba",True,86,69.42,14710823.82,"EUR 22,004,383.35 - Inaki Williams",Buyout Clause Protection,kristine.keller@ward-ballard.com,+260679464858,4.94,18,"French, Spanish, Portuguese","Career Development, Player Marketing",2024-04-28,Knox Ltd
Jay Davis,FAE105FF45,West Africa,Niger,"Yassine Bounou, Victor Osimhen",True,95,69.59,11539933.07,"EUR 14,039,794.32 - Frank Kessié",Performance-based + Image Rights,jay.davis@haynes.com,+227228301560,4.92,5,"French, Portuguese, Swahili, English","Talent Scouting, Youth Development, Player Marketing",2024-08-07,Livingston Group
James Johnson,FA84B7379C,West Africa,Cape Verde,"Patson Daka, André Onana, Thomas Partey, Mbwana Samatta",False,29,85.6,5717901.86,"EUR 16,472,710.73 - Vincent Aboubakar",Championship Clause Activation,james.johnson@frost-rocha.com,+238747286954,4.35,13,"Spanish, Portuguese, English, Swahili","International Transfers, Career Development",2024-03-11,Lewis PLC
Marissa Davis,FAE9400BE8,Southern Africa,Lesotho,"Thomas Partey, Seifeddine Jaziri, Aymen Dahmen",False,26,65.83,12191686.76,"EUR 16,065,879.42 - Mbwana Samatta",Loyalty Bonus Included,marissa.davis@smith-deleon.com,+266759096253,3.65,23,"Portuguese, Spanish, Swahili","International Transfers, Career Development, Talent Scouting",2024-05-21,"Hoffman, Davis and Williams"
Jacob Edwards,FABE3F7F18,Southern Africa,Lesotho,"Edmond Tapsoba, Samuel Chukwueze, Édouard Mendy, Inaki Williams",False,90,75.75,4527374.48,"EUR 17,201,363.48 - Mbwana Samatta",Medical & Injury Coverage,jacob.edwards@rodriguez.org,+266200405224,4.04,28,"Arabic, Portuguese, French, Swahili","Youth Development, Player Marketing",2024-11-15,Welch PLC
Sandra Taylor,FA8CC00F0C,Central Africa,Angola,"Thomas Partey, Aymen Dahmen, Inaki Williams, Seifeddine Jaziri",False,27,91.02,1455447.36,"EUR 16,311,070.88 - Seifeddine Jaziri",Loyalty Bonus Included,sandra.taylor@jimenez.info,+244677188564,4.3,25,"English, Arabic","Contract Negotiation, Talent Scouting, Player Marketing",2024-08-08,Myers-Dominguez
Colleen Fisher,FA1F739D88,Southern Africa,Lesotho,"Mbwana Samatta, Michael Olunga, Youssef Msakni",False,54,97.92,10240020.3,"EUR 14,884,669.09 - Aymen Balbouli",Incentive-driven Performance,colleen.fisher@barker-kelly.org,+266362164397,4.47,30,"Swahili, French","Player Marketing, Career Development, Talent Scouting",2024-08-31,"Yoder, Grimes and Odonnell"
Antonio Yoder,FAC296B738,Southern Africa,South Africa,"Aymen Dahmen, Wilfried Zaha, Wahbi Khazri, Anis Ben Slimane",True,66,87.66,5775598.53,"EUR 19,516,339.51 - Aymen Balbouli",Sponsorship-linked Earnings,antonio.yoder@williams.org,+27092403251,4.71,6,"Portuguese, French","Talent Scouting, Player Marketing, Contract Negotiation",2024-10-20,Watts Ltd
Ryan Washington,FA466B2F4E,Southern Africa,South Africa,"Sadio Mané, Anis Ben Slimane, Thomas Partey, Mbwana Samatta",True,70,78.66,625546.63,"EUR 16,773,933.86 - Mohamed Salah",Appearance-based Bonuses,ryan.washington@perez.com,+27060968752,4.25,5,"English, Portuguese","Talent Scouting, Player Marketing, Contract Negotiation",2024-11-13,Gamble Ltd
Melissa Barker,FAE316E69E,East Africa,Zimbabwe,"Yassine Bounou, Inaki Williams",True,99,91.13,3345816.45,"EUR 9,419,641.99 - Achraf Hakimi",Experience-based Scaling,melissa.barker@rogers.info,+263003879250,4.43,9,"Spanish, Arabic","Contract Negotiation, Career Development, Talent Scouting",2024-07-24,Morgan-Flores
Gina Wright,FA824EC14A,North Africa,Egypt,"Seifeddine Jaziri, Samuel Chukwueze, Achraf Hakimi",True,99,67.5,11572157.94,"EUR 14,583,341.07 - Samuel Chukwueze",Medical & Injury Coverage,gina.wright@blake-hudson.com,+20950838496,4.22,7,"Portuguese, Swahili, Spanish","Career Development, Contract Negotiation, Player Marketing",2024-11-05,"Ortiz, Bell and Blevins"
