person,function,functionGroup,since,contractUntil,certifications,years_experience,notable_achievements,coaching_philosophy,contact_email,phone_number,profile_rating,availability_status
Mohamed Mansour (Egypt),Owner,Board,2021-05-15,2023-09-23,"Basic Coaching Certificate, Basic Coaching Certificate",25,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.87,False
Christopher Samba (Congo),Advisor,Board,2023-02-16,2025-09-14,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.81,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2021-03-18,2023-04-08,"Talent Identification Certificate, Player Analysis",22,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2023-04-11,2025-03-17,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.67,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2023-05-19,2025-09-25,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.77,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2017-03-18,2020-03-09,Basic Coaching Certificate,4,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.18,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2019-03-18,2021-09-26,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.46,True
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-08-24,2025-08-15,UEFA Pro License,17,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,4.05,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-08-24,2022-11-02,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",9,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.76,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-08-16,2024-12-19,UEFA A License,16,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.58,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2023-11-25,2024-08-15,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",8,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-08-28,2021-08-15,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,4.03,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-08-24,2025-08-15,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",25,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.63,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-08-16,2024-04-25,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",11,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.58,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-08-16,2026-08-15,"FIFA Management Certificate, Football Management Degree, Sports Administration",17,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.93,False
Augustin Senghor (Senegal),President,Board,2014-08-24,2017-05-24,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,False
Moise Katumbi (DR Congo),Chairman,Board,2019-10-31,2022-02-18,Basic Coaching Certificate,13,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,3.84,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2019-10-31,2022-04-12,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",6,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.94,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2019-11-17,2021-12-31,Advanced Tactical Analysis Certificate,12,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.61,False
Mohamed Mansour (Egypt),Owner,Board,2016-10-10,2018-10-31,"Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.1,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2016-10-11,2019-03-24,"Basic Coaching Certificate, Basic Coaching Certificate",10,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.96,True
Mohamed Mansour (Egypt),Owner,Board,2019-10-14,2022-02-21,"Basic Coaching Certificate, Basic Coaching Certificate",27,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2021-07-17,2024-02-13,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-08-17,2021-09-06,"Talent Identification Certificate, Player Analysis",21,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.9,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-09-09,2023-08-16,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.91,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2021-10-17,2024-02-24,"Advanced Tactical Analysis Certificate, CAF B License",26,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.27,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-08-17,2018-08-08,Basic Coaching Certificate,6,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.17,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-08-16,2020-02-25,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.16,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-01-31,2026-01-22,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.98,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-01-31,2023-04-11,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",9,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.6,False
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-01-23,2025-05-28,UEFA A License,17,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.39,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-05-03,2025-01-22,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",9,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.73,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-02-04,2022-01-22,"Advanced GK Training, UEFA GK A License",20,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.91,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-01-31,2026-01-22,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",24,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.6,True
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-01-23,2024-10-02,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",12,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-01-23,2027-01-22,"FIFA Management Certificate, Football Management Degree, Sports Administration",17,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.18,False
Augustin Senghor (Senegal),President,Board,2015-01-31,2017-10-31,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-04-08,2022-07-28,Basic Coaching Certificate,15,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.06,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-04-08,2022-09-19,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",4,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.88,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-04-25,2022-06-09,Advanced Tactical Analysis Certificate,13,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.72,True
Mohamed Mansour (Egypt),Owner,Board,2017-03-19,2019-04-09,"Basic Coaching Certificate, Basic Coaching Certificate",20,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.5,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-03-20,2019-08-31,"Basic Coaching Certificate, Basic Coaching Certificate",10,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.44,False
Mohamed Mansour (Egypt),Owner,Board,2020-03-22,2022-07-31,"Basic Coaching Certificate, Basic Coaching Certificate",23,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.73,False
Christopher Samba (Congo),Advisor,Board,2021-12-24,2024-07-22,Basic Coaching Certificate,26,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.53,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-01-24,2022-02-13,"Talent Identification Certificate, Player Analysis",21,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.61,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-02-16,2024-01-23,Talent ID License,11,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.45,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-03-26,2024-08-02,"Advanced Tactical Analysis Certificate, CAF B License",22,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.6,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-01-24,2019-01-15,Basic Coaching Certificate,7,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.52,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-01-23,2020-08-03,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,3.95,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2022-03-17,2027-03-08,UEFA Pro License,16,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.5,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2022-03-17,2024-05-25,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",7,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,5.0,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2024-03-08,2026-07-12,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.86,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-06-17,2026-03-08,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",9,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.66,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2022-03-21,2023-03-08,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,4.08,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2022-03-17,2027-03-08,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.39,True
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2023-03-09,2025-11-16,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.67,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2015-03-09,2028-03-07,"FIFA Management Certificate, Football Management Degree, Sports Administration",15,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.2,True
Augustin Senghor (Senegal),President,Board,2016-03-16,2018-12-15,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.91,False
Moise Katumbi (DR Congo),Chairman,Board,2021-05-23,2023-09-11,Basic Coaching Certificate,14,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.23,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-05-23,2023-11-03,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",6,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.93,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-06-09,2023-07-24,Advanced Tactical Analysis Certificate,10,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,4.03,True
Mohamed Mansour (Egypt),Owner,Board,2018-05-03,2020-05-23,"Basic Coaching Certificate, Basic Coaching Certificate",20,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.47,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2018-05-04,2020-10-14,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.2,False
Mohamed Mansour (Egypt),Owner,Board,2021-05-06,2023-09-14,"Basic Coaching Certificate, Basic Coaching Certificate",23,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.85,False
Christopher Samba (Congo),Advisor,Board,2023-02-07,2025-09-05,Basic Coaching Certificate,26,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.78,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2021-03-09,2023-03-30,"Talent Identification Certificate, Player Analysis",24,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.87,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2023-04-02,2025-03-08,Talent ID License,12,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.89,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2023-05-10,2025-09-16,"Advanced Tactical Analysis Certificate, CAF B License",26,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.43,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2017-03-09,2020-02-29,Basic Coaching Certificate,6,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.25,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2019-03-09,2021-09-17,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",15,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.31,True
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-08-31,2025-08-22,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.8,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-08-31,2022-11-09,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",11,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.63,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-08-23,2024-12-26,UEFA A License,18,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.67,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2023-12-02,2024-08-22,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",8,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-09-04,2021-08-22,"Advanced GK Training, UEFA GK A License",19,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.71,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-08-31,2025-08-22,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",24,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.25,True
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-08-23,2024-05-02,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",9,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.74,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-08-23,2026-08-22,"FIFA Management Certificate, Football Management Degree, Sports Administration",17,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.22,False
Augustin Senghor (Senegal),President,Board,2014-08-31,2017-05-31,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.93,True
Moise Katumbi (DR Congo),Chairman,Board,2019-11-07,2022-02-25,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,3.84,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2019-11-07,2022-04-19,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",4,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.22,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2019-11-24,2022-01-07,Advanced Tactical Analysis Certificate,13,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.62,False
Mohamed Mansour (Egypt),Owner,Board,2016-10-17,2018-11-07,"Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.13,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2016-10-18,2019-03-31,"Basic Coaching Certificate, Basic Coaching Certificate",12,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.42,True
Mohamed Mansour (Egypt),Owner,Board,2019-10-21,2022-02-28,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2021-07-24,2024-02-20,Basic Coaching Certificate,23,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-08-24,2021-09-13,"Talent Identification Certificate, Player Analysis",23,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.94,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-09-16,2023-08-23,Talent ID License,8,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.49,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2021-10-24,2024-03-02,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.56,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-08-24,2018-08-15,Basic Coaching Certificate,8,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.39,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-08-23,2020-03-03,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",15,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.44,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-10-21,2026-10-12,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,4.0,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-10-21,2023-12-30,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",10,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.94,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-10-13,2026-02-15,UEFA A License,17,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.32,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-01-21,2025-10-12,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",8,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-10-25,2022-10-12,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.58,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-10-21,2026-10-12,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",26,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.43,True
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-10-13,2025-06-22,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",11,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.63,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-10-13,2027-10-12,"FIFA Management Certificate, Football Management Degree, Sports Administration",19,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.71,True
Augustin Senghor (Senegal),President,Board,2015-10-21,2018-07-21,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.83,False
Moise Katumbi (DR Congo),Chairman,Board,2020-12-27,2023-04-17,Basic Coaching Certificate,12,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,3.94,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-12-27,2023-06-09,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",5,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.91,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-01-13,2023-02-27,Advanced Tactical Analysis Certificate,9,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.91,True
Mohamed Mansour (Egypt),Owner,Board,2017-12-07,2019-12-28,"Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,3.97,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-12-08,2020-05-20,"Basic Coaching Certificate, Basic Coaching Certificate",12,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.91,False
Mohamed Mansour (Egypt),Owner,Board,2020-12-10,2023-04-20,"Basic Coaching Certificate, Basic Coaching Certificate",24,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,False
Christopher Samba (Congo),Advisor,Board,2022-09-13,2025-04-11,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-10-13,2022-11-03,"Talent Identification Certificate, Player Analysis",23,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-11-06,2024-10-12,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.71,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-12-14,2025-04-22,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.25,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-10-13,2019-10-05,Basic Coaching Certificate,6,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.43,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-10-13,2021-04-23,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.18,True
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-07-30,2026-07-21,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.5,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-07-30,2023-10-08,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",7,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.8,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-07-22,2025-11-24,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.62,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-10-30,2025-07-21,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.69,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-08-03,2022-07-21,"Advanced GK Training, UEFA GK A License",19,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.93,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-07-30,2026-07-21,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",26,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.45,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-07-22,2025-03-31,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",10,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.88,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-07-22,2027-07-21,"FIFA Management Certificate, Football Management Degree, Sports Administration",18,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.17,True
